repeat,noise_fraction,protocol,eigen_index,eigenvalue,retained_90
0,0.0,deterministic,1,259.4965599174039,3
0,0.0,deterministic,2,69.0857580727709,3
0,0.0,deterministic,3,50.284536185552184,3
0,0.0,deterministic,4,36.18320085956992,3
0,0.0,deterministic,5,0.87592078043753,3
0,0.0,deterministic,6,0.5745473943747611,3
0,0.0,deterministic,7,0.47358293827800557,3
0,0.0,deterministic,8,0.416536159067479,3
0,0.0,deterministic,9,0.3842779035269326,3
0,0.0,deterministic,10,0.3554627972784153,3
0,0.05,CRN,1,245.09902041505617,4
0,0.05,CRN,2,63.819306981436426,4
0,0.05,CRN,3,49.908706323699136,4
0,0.05,CRN,4,39.71636359805418,4
0,0.05,CRN,5,0.966833806549263,4
0,0.05,CRN,6,0.6009537622214053,4
0,0.05,CRN,7,0.5351352060461599,4
0,0.05,CRN,8,0.47646307380106245,4
0,0.05,CRN,9,0.3185234766962968,4
0,0.05,CRN,10,0.2676777580921563,4
0,0.05,independent,1,370.32830157999206,8
0,0.05,independent,2,169.6654814920185,8
0,0.05,independent,3,110.47695358475885,8
0,0.05,independent,4,93.03721927404223,8
0,0.05,independent,5,89.90103776741897,8
0,0.05,independent,6,89.0464880808779,8
0,0.05,independent,7,79.60316807291464,8
0,0.05,independent,8,77.14035984292931,8
0,0.05,independent,9,45.149461980660796,8
0,0.05,independent,10,37.62711018060397,8
0,0.15,CRN,1,269.7188391584417,3
0,0.15,CRN,2,70.57732318969482,3
0,0.15,CRN,3,47.829401437532226,3
0,0.15,CRN,4,35.50727794675351,3
0,0.15,CRN,5,0.8968442861812369,3
0,0.15,CRN,6,0.6042298754362909,3
0,0.15,CRN,7,0.5292378773837243,3
0,0.15,CRN,8,0.5161116748190061,3
0,0.15,CRN,9,0.4368233559269824,3
0,0.15,CRN,10,0.3565324455391402,3
0,0.15,independent,1,8466.549631512811,6
0,0.15,independent,2,2809.3974777053136,6
0,0.15,independent,3,1467.5182693655486,6
0,0.15,independent,4,630.3285247794101,6
0,0.15,independent,5,606.9599021017157,6
0,0.15,independent,6,554.0602567581315,6
0,0.15,independent,7,537.0976503286284,6
0,0.15,independent,8,401.1967431637984,6
0,0.15,independent,9,319.737924517086,6
0,0.15,independent,10,309.4428540815614,6
1,0.0,deterministic,1,247.59651664533823,4
1,0.0,deterministic,2,63.71823234878201,4
1,0.0,deterministic,3,47.7252447568618,4
1,0.0,deterministic,4,43.842910713674485,4
1,0.0,deterministic,5,0.7658146387489974,4
1,0.0,deterministic,6,0.6148156555527211,4
1,0.0,deterministic,7,0.5547858699627946,4
1,0.0,deterministic,8,0.3814436950536659,4
1,0.0,deterministic,9,0.3475067511148297,4
1,0.0,deterministic,10,0.3238159924535709,4
1,0.05,CRN,1,269.7188391584417,3
1,0.05,CRN,2,70.57732318969484,3
1,0.05,CRN,3,47.82940143753223,3
1,0.05,CRN,4,35.50727794675349,3
1,0.05,CRN,5,0.8968442861812378,3
1,0.05,CRN,6,0.6042298754362919,3
1,0.05,CRN,7,0.5292378773837307,3
1,0.05,CRN,8,0.5161116748190051,3
1,0.05,CRN,9,0.4368233559269837,3
1,0.05,CRN,10,0.3565324455391402,3
1,0.05,independent,1,995.5383538077527,6
1,0.05,independent,2,344.50674641319796,6
1,0.05,independent,3,312.5870004187755,6
1,0.05,independent,4,157.94449147754847,6
1,0.05,independent,5,85.27179135548882,6
1,0.05,independent,6,70.1852242110827,6
1,0.05,independent,7,67.63575775746259,6
1,0.05,independent,8,60.256747078872685,6
1,0.05,independent,9,36.16945009635309,6
1,0.05,independent,10,34.858515166581036,6
1,0.15,CRN,1,252.7085276867686,4
1,0.15,CRN,2,65.18985016281195,4
1,0.15,CRN,3,53.832758096235374,4
1,0.15,CRN,4,43.06855928012161,4
1,0.15,CRN,5,0.9985187249707909,4
